carbonsource,experiment,cellno,ID,time,recovery_time,observation
glu2,231215,1,231215_glu2_1,10.9954,0,0.124134435
glu2,231215,1,231215_glu2_1,11.4343,0.4389,0.171949501
glu2,231215,1,231215_glu2_1,11.8731,0.8777,0.217777432
glu2,231215,1,231215_glu2_1,12.312,1.3166,0.184896169
glu2,231215,1,231215_glu2_1,12.7508,1.7554,0.184661839
glu2,231215,1,231215_glu2_1,13.1897,2.1943,0.203622315
glu2,231215,1,231215_glu2_1,13.6285,2.6331,0.237356374
glu2,231215,1,231215_glu2_1,14.0674,3.072,0.201984202
glu2,231215,1,231215_glu2_1,14.5062,3.5108,0.177729867
glu2,231215,1,231215_glu2_1,14.9451,3.9497,0.232774331
glu2,231215,1,231215_glu2_1,15.3839,4.3885,0.222104185
glu2,231215,1,231215_glu2_1,15.8228,4.8274,0.249675549
glu2,231215,1,231215_glu2_1,16.2616,5.2662,0.235293198
glu2,231215,1,231215_glu2_1,16.7005,5.7051,0.242327521
glu2,231215,1,231215_glu2_1,17.1393,6.1439,0.211095397
glu2,231215,1,231215_glu2_1,17.5782,6.5828,0.280659784
glu2,231215,1,231215_glu2_1,18.017,7.0216,0.28107592
glu2,231215,1,231215_glu2_1,18.4559,7.4605,0.203223673
glu2,231215,1,231215_glu2_1,18.8947,7.8993,0.229078354
glu2,231215,1,231215_glu2_1,19.3336,8.3382,0.303272989
glu2,231215,1,231215_glu2_1,19.7724,8.777,0.253568214
glu2,231215,1,231215_glu2_1,20.2113,9.2159,0.27975164
glu2,231215,1,231215_glu2_1,20.6501,9.6547,0.283985881
glu2,231215,1,231215_glu2_1,21.089,10.0936,0.309489973
glu2,231215,1,231215_glu2_1,21.5278,10.5324,0.229834143
glu2,231215,1,231215_glu2_1,21.9667,10.9713,0.292026564
glu2,231215,1,231215_glu2_1,22.4055,11.4101,0.228271256
glu2,231215,1,231215_glu2_1,22.8444,11.849,0.236020812
glu2,231215,1,231215_glu2_1,23.2832,12.2878,0.295447869
glu2,231215,1,231215_glu2_1,23.7221,12.7267,0.323289811
glu2,231215,1,231215_glu2_1,24.161,13.1656,0.267891582
glu2,231215,1,231215_glu2_1,24.5998,13.6044,0.230387563
glu2,231215,1,231215_glu2_1,25.0387,14.0433,0.337786316
glu2,231215,1,231215_glu2_1,25.4775,14.4821,0.233602162
glu2,231215,1,231215_glu2_1,25.9164,14.921,0.288920905
glu2,231215,1,231215_glu2_1,26.3552,15.3598,0.242099801
glu2,231215,1,231215_glu2_1,26.7941,15.7987,0.36777591
glu2,231215,1,231215_glu2_1,27.2329,16.2375,0.304079399
glu2,231215,1,231215_glu2_1,27.6718,16.6764,0.274675221
glu2,231215,1,231215_glu2_1,28.1106,17.1152,0.325956145
glu2,231215,1,231215_glu2_1,28.5495,17.5541,0.365115437
glu2,231215,1,231215_glu2_1,28.9883,17.9929,0.302098947
glu2,231215,1,231215_glu2_1,29.4272,18.4318,0.308944043
glu2,231215,1,231215_glu2_1,29.866,18.8706,0.28146333
