carbonsource,experiment,cellno,tag,time,recovery_time,observation
glu005,231215,2,231215_glu005_2,32.7583,23.3483,0.285845176
glu005,231215,2,231215_glu005_2,33.2659,23.8559,0.314295628
glu005,231215,2,231215_glu005_2,33.7735,24.3635,0.230674034
glu005,231215,2,231215_glu005_2,34.2811,24.8711,0.255161107
glu005,231215,2,231215_glu005_2,34.7886,25.3786,0.246765421
glu005,231215,2,231215_glu005_2,35.2962,25.8862,0.227031197
glu005,231215,2,231215_glu005_2,35.8038,26.3938,0.255852194
glu005,231215,2,231215_glu005_2,36.3114,26.9014,0.271160617
glu005,231215,2,231215_glu005_2,36.8189,27.4089,0.246439702
glu005,231215,2,231215_glu005_2,37.3265,27.9165,0.271488952
glu005,231215,2,231215_glu005_2,37.8341,28.4241,0.237643356
glu005,231215,2,231215_glu005_2,38.3416,28.9316,0.221880537
glu005,231215,2,231215_glu005_2,38.8492,29.4392,0.19966937
glu005,231215,2,231215_glu005_2,39.3568,29.9468,0.195061972
glu005,231215,2,231215_glu005_2,39.8644,30.4544,0.348981857
glu005,231215,2,231215_glu005_2,40.3719,30.9619,0.277198422
glu005,231215,2,231215_glu005_2,40.8795,31.4695,0.212369588
glu005,231215,2,231215_glu005_2,41.3871,31.9771,0.213118975
glu005,231215,2,231215_glu005_2,41.8947,32.4847,0.264231674
glu005,231215,2,231215_glu005_2,42.4022,32.9922,0.255301988
glu005,231215,2,231215_glu005_2,42.9098,33.4998,0.320826431
glu005,231215,2,231215_glu005_2,43.4174,34.0074,0.240752207
glu005,231215,2,231215_glu005_2,43.9249,34.5149,0.299221349
glu005,231215,2,231215_glu005_2,44.4325,35.0225,0.267961
glu005,231215,2,231215_glu005_2,44.9401,35.5301,0.270850094
glu005,231215,2,231215_glu005_2,45.4477,36.0377,0.259562104
glu005,231215,2,231215_glu005_2,45.9552,36.5452,0.239329084
glu005,231215,2,231215_glu005_2,46.4628,37.0528,0.281352573
glu005,231215,2,231215_glu005_2,46.9704,37.5604,0.236809734
glu005,231215,2,231215_glu005_2,47.478,38.068,0.296920056
glu005,231215,2,231215_glu005_2,47.9855,38.5755,0.301170173
glu005,231215,2,231215_glu005_2,48.4931,39.0831,0.27860268
glu005,231215,2,231215_glu005_2,49.0007,39.5907,0.273007813
glu005,231215,2,231215_glu005_2,49.5083,40.0983,0.292916
