ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
231215_glu005_2,0,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000015,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000029,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000039,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000054,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000074,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000102,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000141,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000194,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000267,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000367,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000505,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000695,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000000957,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000001317,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000001812,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000002494,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000003432,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000004723,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000006499,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000008944,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000012308,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000016938,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000023308,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000032075,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000044139,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000060741,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000083587,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000115026,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.000000000015829,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000217826,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000299755,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000412501,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000567652,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000000781159,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000001074972,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000001479294,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000002035692,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000002801364,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000003855024,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000005304989,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000007300322,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000010046146,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.000000001382474,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000019024553,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000026180139,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.000000003602711,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000049577761,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000068225134,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000093886225,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000129199063,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000177793897,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.00000002446664,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.000000033669124,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000463328806,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000637597766,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000000877413417,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000001207429426,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000001661572288,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000002286529058,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000003146546901,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000004330037865,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000005958667866,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000008199864263,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000011284027813,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000015528218467,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000021368749951,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000029406043934,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000040466354926,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000055686711367,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000076631805077,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000105454845604,0.151915,0.151915,0.150242,0.149854
231215_glu005_2,0.0000145118915705,0.151916,0.151916,0.150242,0.149854
231215_glu005_2,0.0000199701583885,0.151916,0.151916,0.150243,0.149854
231215_glu005_2,0.0000274814088932,0.151916,0.151916,0.150243,0.149854
231215_glu005_2,0.0000378178189707,0.151916,0.151916,0.150243,0.149854
231215_glu005_2,0.0000520419981837,0.151916,0.151916,0.150243,0.149854
231215_glu005_2,0.0000716162287689,0.151916,0.151916,0.150243,0.149855
231215_glu005_2,0.0000985527920158,0.151916,0.151916,0.150243,0.149855
231215_glu005_2,0.0001356208359622,0.151917,0.151917,0.150244,0.149855
231215_glu005_2,0.0001866310509413,0.151917,0.151917,0.150244,0.149856
231215_glu005_2,0.0002568274183558,0.151918,0.151918,0.150245,0.149857
231215_glu005_2,0.0003534263054655,0.151919,0.151919,0.150246,0.149858
231215_glu005_2,0.0004863583265162,0.151921,0.151921,0.150248,0.149859
231215_glu005_2,0.0006692892354463,0.151923,0.151923,0.15025,0.149861
231215_glu005_2,0.0009210248005683,0.151925,0.151925,0.150253,0.149864
231215_glu005_2,0.001267444085958,0.151929,0.151929,0.150257,0.149867
231215_glu005_2,0.0017441598858564,0.151934,0.151934,0.150262,0.149873
231215_glu005_2,0.002400179811586,0.151941,0.151941,0.15027,0.14988
231215_glu005_2,0.0033029444001438,0.151951,0.151951,0.15028,0.149889
231215_glu005_2,0.0045452601750003,0.151964,0.151964,0.150295,0.149903
231215_glu005_2,0.006254840395601,0.151982,0.151982,0.150314,0.149921
231215_glu005_2,0.008607434309179,0.152007,0.152007,0.150341,0.149946
231215_glu005_2,0.0118448946257585,0.152042,0.152042,0.150379,0.149981
231215_glu005_2,0.0163000405992881,0.15209,0.15209,0.15043,0.150029
231215_glu005_2,0.0224308727036417,0.152155,0.152155,0.1505,0.150094
231215_glu005_2,0.0308676562602521,0.152245,0.152245,0.150597,0.150185
231215_glu005_2,0.0424777143354922,0.152369,0.152369,0.15073,0.150309
231215_glu005_2,0.0584545907844363,0.15254,0.15254,0.150913,0.150479
231215_glu005_2,0.0804407496314106,0.152774,0.152774,0.151165,0.150714
231215_glu005_2,0.1106964245994881,0.153096,0.153096,0.15151,0.151036
231215_glu005_2,0.1523319769551888,0.153538,0.153538,0.151984,0.151478
231215_glu005_2,0.2096276486529221,0.154144,0.154144,0.152633,0.152083
231215_glu005_2,0.2884735822254824,0.154975,0.154975,0.153521,0.152912
231215_glu005_2,0.3816944000000002,0.155952,0.155952,0.154563,0.153885
231215_glu005_2,0.3969753425979773,0.156111,0.156111,0.154733,0.154044
231215_glu005_2,0.5076000000000001,0.157262,0.157262,0.155957,0.155188
231215_glu005_2,0.5462871900263064,0.157662,0.157662,0.156382,0.155585
231215_glu005_2,0.7517587667631586,0.159772,0.159772,0.158617,0.157676
231215_glu005_2,0.7633888000000002,0.159891,0.159891,0.158743,0.157794
231215_glu005_2,1.0151,0.162436,0.162436,0.161425,0.160306
231215_glu005_2,1.03451307979243,0.162631,0.162631,0.161629,0.160498
231215_glu005_2,1.1450832,0.163735,0.163735,0.162787,0.161583
231215_glu005_2,1.42361800031896,0.166482,0.166482,0.165655,0.164276
231215_glu005_2,1.5227,0.167447,0.167447,0.166658,0.165219
231215_glu005_2,1.5267776,0.167487,0.167487,0.1667,0.165258
231215_glu005_2,1.908472,0.171149,0.171149,0.170485,0.168821
231215_glu005_2,1.95907451575073,0.171627,0.171627,0.170978,0.169285
231215_glu005_2,2.0303,0.172299,0.172299,0.171667,0.169935
231215_glu005_2,2.2901664,0.174722,0.174722,0.174148,0.172276
231215_glu005_2,2.5379,0.176995,0.176995,0.176461,0.174462
231215_glu005_2,2.6718608,0.17821,0.17821,0.177691,0.175626
231215_glu005_2,2.69592893416919,0.178427,0.178427,0.17791,0.175834
231215_glu005_2,3.0454,0.181542,0.181542,0.181047,0.178806
231215_glu005_2,3.0535552,0.181613,0.181613,0.181119,0.178874
231215_glu005_2,3.4352496,0.184935,0.184935,0.184436,0.182023
231215_glu005_2,3.553,0.185944,0.185944,0.185437,0.182975
231215_glu005_2,3.70993178649228,0.187276,0.187276,0.186756,0.18423
231215_glu005_2,3.816944,0.188177,0.188177,0.187645,0.185077
231215_glu005_2,4.0606,0.190206,0.190206,0.189639,0.186978
231215_glu005_2,4.1986384,0.191341,0.191341,0.19075,0.188038
231215_glu005_2,4.5681,0.194331,0.194331,0.193659,0.190818
231215_glu005_2,4.5803328,0.194429,0.194429,0.193753,0.190909
231215_glu005_2,4.9620272,0.197443,0.197443,0.196659,0.193693
231215_glu005_2,5.0757,0.198326,0.198326,0.197506,0.194505
231215_glu005_2,5.10532517603894,0.198555,0.198555,0.197726,0.194716
231215_glu005_2,5.3437216,0.200384,0.200384,0.199471,0.196392
231215_glu005_2,5.5833,0.202193,0.202193,0.201189,0.198044
231215_glu005_2,5.725416,0.203254,0.203254,0.202191,0.199009
231215_glu005_2,6.0909,0.205938,0.205938,0.204713,0.201441
231215_glu005_2,6.1071104,0.206055,0.206055,0.204823,0.201547
231215_glu005_2,6.4888048,0.208789,0.208789,0.207369,0.204008
231215_glu005_2,6.5984,0.209562,0.209562,0.208085,0.2047
231215_glu005_2,6.8704992,0.211457,0.211457,0.209833,0.206393
231215_glu005_2,7.02555913507531,0.212523,0.212523,0.210811,0.207342
231215_glu005_2,7.106,0.213071,0.213071,0.211313,0.207829
231215_glu005_2,7.2521936,0.214061,0.214061,0.212216,0.208707
231215_glu005_2,7.6136,0.216469,0.216469,0.214401,0.210832
231215_glu005_2,7.633888,0.216603,0.216603,0.214522,0.21095
231215_glu005_2,8.0155824,0.219083,0.219083,0.216753,0.213125
231215_glu005_2,8.1212,0.219758,0.219758,0.217358,0.213715
231215_glu005_2,8.3972768,0.221503,0.221503,0.218912,0.215234
231215_glu005_2,8.6287,0.222942,0.222942,0.220186,0.216481
231215_glu005_2,8.7789712,0.223866,0.223866,0.221,0.217279
231215_glu005_2,9.1363,0.226026,0.226026,0.222893,0.219137
231215_glu005_2,9.1606656,0.226171,0.226171,0.22302,0.219261
231215_glu005_2,9.54236,0.228421,0.228421,0.224975,0.221184
231215_glu005_2,9.6439,0.22901,0.22901,0.225484,0.221685
231215_glu005_2,9.66803865738006,0.22915,0.22915,0.225605,0.221804
231215_glu005_2,9.9240544,0.230617,0.230617,0.226866,0.223048
231215_glu005_2,10.1514,0.2319,0.2319,0.227963,0.224131
231215_glu005_2,10.3057488,0.23276,0.23276,0.228696,0.224855
231215_glu005_2,10.659,0.234698,0.234698,0.230336,0.226479
231215_glu005_2,10.6874432,0.234852,0.234852,0.230466,0.226608
231215_glu005_2,11.0691376,0.236893,0.236893,0.232179,0.228307
231215_glu005_2,11.1666,0.237406,0.237406,0.232607,0.228733
231215_glu005_2,11.450832,0.238885,0.238885,0.233836,0.229955
231215_glu005_2,11.6742,0.240028,0.240028,0.234781,0.230896
231215_glu005_2,11.8325264,0.240829,0.240829,0.235439,0.231552
231215_glu005_2,12.1817,0.242567,0.242567,0.23686,0.232971
231215_glu005_2,12.2142208,0.242727,0.242727,0.23699,0.233101
231215_glu005_2,12.5959152,0.244578,0.244578,0.238491,0.234603
231215_glu005_2,12.6893,0.245025,0.245025,0.23885,0.234964
231215_glu005_2,12.9776096,0.246386,0.246386,0.239943,0.23606
231215_glu005_2,13.1969,0.247404,0.247404,0.240755,0.236876
231215_glu005_2,13.3044174397364,0.247898,0.247898,0.241148,0.237271
231215_glu005_2,13.359304,0.248149,0.248149,0.241347,0.237472
231215_glu005_2,13.7045,0.249708,0.249708,0.242578,0.238712
231215_glu005_2,13.7409984,0.249871,0.249871,0.242706,0.238841
231215_glu005_2,14.1226928,0.251551,0.251551,0.244021,0.240169
231215_glu005_2,14.212,0.251938,0.251938,0.244323,0.240473
231215_glu005_2,14.5043872,0.25319,0.25319,0.245293,0.241456
231215_glu005_2,14.7196,0.254097,0.254097,0.245992,0.242164
231215_glu005_2,14.8860816,0.25479,0.25479,0.246524,0.242704
231215_glu005_2,15.2272,0.256188,0.256188,0.24759,0.243787
231215_glu005_2,15.267776,0.256352,0.256352,0.247715,0.243914
231215_glu005_2,15.6494704,0.257876,0.257876,0.248867,0.245088
231215_glu005_2,15.7348,0.258212,0.258212,0.249119,0.245345
231215_glu005_2,16.0311648,0.259363,0.259363,0.249981,0.246226
231215_glu005_2,16.2423,0.260171,0.260171,0.250582,0.24684
231215_glu005_2,16.4128592,0.260815,0.260815,0.25106,0.247329
231215_glu005_2,16.7499,0.262068,0.262068,0.251983,0.248275
231215_glu005_2,16.7945536,0.262232,0.262232,0.252103,0.248399
231215_glu005_2,17.176248,0.263614,0.263614,0.253112,0.249436
231215_glu005_2,17.2575,0.263904,0.263904,0.253323,0.249653
231215_glu005_2,17.5579424,0.264964,0.264964,0.254089,0.250442
231215_glu005_2,17.765,0.265682,0.265682,0.254605,0.250974
231215_glu005_2,17.9396368,0.266281,0.266281,0.255034,0.251417
231215_glu005_2,18.2726,0.267403,0.267403,0.255833,0.252243
231215_glu005_2,18.3085245812131,0.267523,0.267523,0.255918,0.252331
231215_glu005_2,18.3213312,0.267566,0.267566,0.255948,0.252362
231215_glu005_2,18.7030256,0.26882,0.26882,0.256832,0.253279
231215_glu005_2,18.7802,0.26907,0.26907,0.257008,0.253461
231215_glu005_2,19.08472,0.270044,0.270044,0.257688,0.254168
231215_glu005_2,19.2878,0.270684,0.270684,0.258132,0.25463
231215_glu005_2,19.4664144,0.271239,0.271239,0.258516,0.25503
231215_glu005_2,19.7953,0.272245,0.272245,0.259207,0.255752
231215_glu005_2,19.8481088,0.272405,0.272405,0.259317,0.255866
231215_glu005_2,20.2298032,0.273543,0.273543,0.260092,0.256676
231215_glu005_2,20.3029,0.273758,0.273758,0.260237,0.256829
231215_glu005_2,20.6114976,0.274653,0.274653,0.260841,0.257462
231215_glu005_2,20.8105,0.275222,0.275222,0.261222,0.257862
231215_glu005_2,20.993192,0.275737,0.275737,0.261567,0.258224
231215_glu005_2,21.3181,0.276639,0.276639,0.262165,0.258854
231215_glu005_2,21.3748864,0.276795,0.276795,0.262268,0.258963
231215_glu005_2,21.7565808,0.277827,0.277827,0.262947,0.259679
231215_glu005_2,21.8256,0.278011,0.278011,0.263068,0.259806
231215_glu005_2,22.1382752,0.278835,0.278835,0.263604,0.260374
231215_glu005_2,22.3332,0.27934,0.27934,0.263931,0.26072
231215_glu005_2,22.5199696,0.279818,0.279818,0.26424,0.261047
231215_glu005_2,22.8408,0.280626,0.280626,0.264758,0.261597
231215_glu005_2,22.901664,0.280778,0.280778,0.264855,0.2617
231215_glu005_2,23.2833584,0.281714,0.281714,0.265449,0.262333
231215_glu005_2,23.3483,0.281871,0.281871,0.265549,0.262439
231215_glu005_2,23.6650528,0.282628,0.282628,0.266025,0.262947
231215_glu005_2,23.8559,0.283077,0.283077,0.266306,0.263247
231215_glu005_2,24.0467472,0.28352,0.28352,0.266582,0.263543
231215_glu005_2,24.3635,0.284244,0.284244,0.26703,0.264023
231215_glu005_2,24.4284416,0.284391,0.284391,0.267121,0.26412
231215_glu005_2,24.810136,0.28524,0.28524,0.267642,0.264679
231215_glu005_2,24.8711,0.285374,0.285374,0.267723,0.264767
231215_glu005_2,25.1918304,0.286069,0.286069,0.268146,0.265222
231215_glu005_2,25.1947951768062,0.286076,0.286076,0.26815,0.265226
231215_glu005_2,25.3786,0.286468,0.286468,0.268387,0.265482
231215_glu005_2,25.5735248,0.286879,0.286879,0.268634,0.265748
231215_glu005_2,25.8862,0.287527,0.287527,0.269022,0.266167
231215_glu005_2,25.9552192,0.287668,0.287668,0.269106,0.266258
231215_glu005_2,26.3369136,0.288439,0.288439,0.269563,0.266753
231215_glu005_2,26.3938,0.288552,0.288552,0.269629,0.266826
231215_glu005_2,26.718608,0.289191,0.289191,0.270005,0.267233
231215_glu005_2,26.9014,0.289545,0.289545,0.270211,0.267457
231215_glu005_2,27.1003024,0.289925,0.289925,0.270432,0.267698
231215_glu005_2,27.4089,0.290506,0.290506,0.270767,0.268063
231215_glu005_2,27.4819968,0.290642,0.290642,0.270846,0.268149
231215_glu005_2,27.8636912,0.291341,0.291341,0.271246,0.268586
231215_glu005_2,27.9165,0.291436,0.291436,0.2713,0.268645
231215_glu005_2,28.2453856,0.292023,0.292023,0.271633,0.26901
231215_glu005_2,28.4241,0.292337,0.292337,0.27181,0.269204
231215_glu005_2,28.62708,0.292689,0.292689,0.272007,0.269421
231215_glu005_2,28.9316,0.293209,0.293209,0.272297,0.26974
231215_glu005_2,29.0087744,0.293339,0.293339,0.27237,0.26982
231215_glu005_2,29.3904688,0.293974,0.293974,0.27272,0.270206
231215_glu005_2,29.4392,0.294054,0.294054,0.272764,0.270255
231215_glu005_2,29.7721632,0.294593,0.294593,0.27306,0.270581
231215_glu005_2,29.9468,0.294871,0.294871,0.273211,0.270749
231215_glu005_2,30.1538576,0.295197,0.295197,0.273388,0.270944
231215_glu005_2,30.4544,0.295663,0.295663,0.273639,0.271223
231215_glu005_2,30.535552,0.295787,0.295787,0.273705,0.271297
231215_glu005_2,30.9172464,0.296362,0.296362,0.274012,0.271638
231215_glu005_2,30.9619,0.296429,0.296429,0.274048,0.271677
231215_glu005_2,31.2989408,0.296924,0.296924,0.27431,0.271969
231215_glu005_2,31.4695,0.29717,0.29717,0.274439,0.272114
231215_glu005_2,31.6806352,0.297472,0.297472,0.274597,0.272291
231215_glu005_2,31.9771,0.297889,0.297889,0.274814,0.272533
231215_glu005_2,32.0623296,0.298007,0.298007,0.274875,0.272602
231215_glu005_2,32.444024,0.298529,0.298529,0.275144,0.272904
231215_glu005_2,32.4847,0.298584,0.298584,0.275173,0.272936
231215_glu005_2,32.8257184,0.299038,0.299038,0.275405,0.273197
231215_glu005_2,32.9922,0.299257,0.299257,0.275516,0.273322
231215_glu005_2,33.2074128,0.299536,0.299536,0.275657,0.273481
231215_glu005_2,33.4998,0.299909,0.299909,0.275844,0.273692
231215_glu005_2,33.5891072,0.300021,0.300021,0.275901,0.273756
231215_glu005_2,33.9708016,0.300495,0.300495,0.276136,0.274023
231215_glu005_2,34.0074,0.300539,0.300539,0.276159,0.274048
231215_glu005_2,34.352496,0.300957,0.300957,0.276365,0.274282
231215_glu005_2,34.5149,0.30115,0.30115,0.276459,0.274389
231215_glu005_2,34.6711555693885,0.301334,0.301334,0.276549,0.274492
231215_glu005_2,34.7341904,0.301408,0.301408,0.276585,0.274533
231215_glu005_2,35.0225,0.301741,0.301741,0.276747,0.274717
231215_glu005_2,35.1158848,0.301848,0.301848,0.276799,0.274776
231215_glu005_2,35.4975792,0.302278,0.302278,0.277005,0.275012
231215_glu005_2,35.5301,0.302314,0.302314,0.277023,0.275032
231215_glu005_2,35.8792736,0.302697,0.302697,0.277205,0.275241
231215_glu005_2,36.0377,0.302868,0.302868,0.277286,0.275333
231215_glu005_2,36.260968,0.303106,0.303106,0.277399,0.275462
231215_glu005_2,36.5452,0.303405,0.303405,0.277539,0.275623
231215_glu005_2,36.6426624,0.303506,0.303506,0.277586,0.275677
231215_glu005_2,37.0243568,0.303896,0.303896,0.277767,0.275886
231215_glu005_2,37.0528,0.303924,0.303924,0.27778,0.275901
231215_glu005_2,37.4060512,0.304276,0.304276,0.277942,0.276088
231215_glu005_2,37.5604,0.304427,0.304427,0.278011,0.276168
231215_glu005_2,37.7877456,0.304647,0.304647,0.278112,0.276284
231215_glu005_2,38.068,0.304914,0.304914,0.278232,0.276424
231215_glu005_2,38.16944,0.30501,0.30501,0.278276,0.276474
231215_glu005_2,38.5511344,0.305363,0.305363,0.278434,0.276659
231215_glu005_2,38.5755,0.305386,0.305386,0.278444,0.27667
231215_glu005_2,38.9328288,0.305708,0.305708,0.278588,0.276837
231215_glu005_2,39.0831,0.305842,0.305842,0.278647,0.276906
231215_glu005_2,39.3145232,0.306045,0.306045,0.278736,0.277011
231215_glu005_2,39.5907,0.306284,0.306284,0.27884,0.277133
231215_glu005_2,39.6962176,0.306374,0.306374,0.27888,0.277179
231215_glu005_2,40.077912,0.306695,0.306695,0.279019,0.277342
231215_glu005_2,40.0983,0.306712,0.306712,0.279026,0.27735
231215_glu005_2,40.4596064,0.307008,0.307008,0.279153,0.2775
