"carbonsource","cell_area_cyto","cell_area_nucleus","cellno","experiment","measurement_count","ID","time","measured_nuc_area","measured_cyto_area","BG_area","REF_area","ROI_nuc","ROI_cyto","BG","REF","REF_BG","logref","MID","a","r","y_start",".fitted",".resid","recovery_time","ROI_nuc_BG","ROI_cyto_BG","frap_norm","normREF","fullnormREF","normint","bleach_corrected_nucleus","bleach_corrected_nucleus_zeroes","fraptest","reftest","bleach_corrected_nucleus_test","normint_cyto","normint_nuc_zero","bleach_depth_nuc","bleached_volume","gap_ratio_nuc","corr_normint_nuc","tag"
"glu005",14.416,7.563,2,231215,16,"231215-glu005-2-16",14.4857,2.1656,1.7223,6.5404,62.475,5.537,7.409,2.06,10.734,8.674,2.26944187440079,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.56223421205539,0.111765787944607,5.0757,3.477,5.349,0.0804750100881997,16.1954461880681,0.832842033737944,0.21468997887577,4.37829975277505,0.089629812104386,0.161811243484736,0.753697235111134,0.176023325992906,0.415054343904544,0.12306732716571,0.904970215934475,0.429512098373661,21.0584879016263,0.0101949380163801,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,17,"231215-glu005-2-17",14.9933,2.1656,1.7223,6.5404,62.475,6.164,9.219,2.119,10.336,8.217,2.22104960501153,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.46146244551247,-0.244462445512472,5.5833,4.045,7.1,0.116619588401453,15.3421698555863,0.788962761266392,0.263652406281186,5.11722573439893,0.124060636059803,0.188244601638124,0.713987800427506,0.205752028628142,0.581563103052065,0.177661095764687,0.904970215934475,0.429512098373661,21.0584879016263,0.0125200065414395,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,18,"231215-glu005-2-18",15.5009,2.1656,1.7223,6.5404,62.475,5.688,7.759,2.118,10.519,8.401,2.24081606659641,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.36225351155998,0.038746488440017,6.0909,3.57,5.641,0.0891796852481697,15.6857209391238,0.806629689351218,0.227595531876103,4.53732109160032,0.0970395335899059,0.166139240506329,0.72997584415133,0.182454207888177,0.451935959406079,0.137457193262587,0.904970215934475,0.429512098373661,21.0584879016263,0.0108077813060132,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,19,"231215-glu005-2-19",16.0084,2.1656,1.7223,6.5404,62.475,5.919,8.426,2.182,10.16,7.978,2.19477714035974,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.26460226443911,-0.286602264439106,6.5984,3.737,6.244,0.102496108837263,14.8959268720783,0.766014957938819,0.250873949106506,4.77165732313239,0.107958610378254,0.173911020104244,0.693220721894931,0.191897107024695,0.526769529710417,0.16341294323193,0.904970215934475,0.429512098373661,21.0584879016263,0.011913198624633,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,20,"231215-glu005-2-20",16.516,2.1656,1.7223,6.5404,62.475,6.953,6.844,2.081,10.459,8.378,2.23836652066739,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.16844636326846,0.209553636731544,7.106,4.872,4.763,0.16210295728368,15.6427770536816,0.804421323340615,0.311453649392347,6.24983680928025,0.176835519470309,0.226731198808637,0.727977338685852,0.251369555445374,0.382641445850475,0.2309601281747,0.904970215934475,0.429512098373661,21.0584879016263,0.0147899341513639,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,21,"231215-glu005-2-21",17.0236,2.1656,1.7223,6.5404,62.475,5.93,7.338,2.072,10.095,8.023,2.19977687301236,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.07378170891491,-0.050781708914915,7.6136,3.858,5.266,0.103130224246267,14.9799475175086,0.770335674046521,0.257544293495738,4.97208872392276,0.117297865523384,0.179542069992554,0.697130841283909,0.199998937539756,0.441769619344793,0.170850467418505,0.904970215934475,0.429512098373661,21.0584879016263,0.0122299518701838,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,22,"231215-glu005-2-22",17.5312,2.1656,1.7223,6.5404,62.475,6.517,6.958,2.087,9.788,7.701,2.16343796158389,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.98058517417524,-0.27958517417524,8.1212,4.43,4.871,0.136968928344959,14.378733121318,0.739418549898075,0.30809390247546,5.73582141652928,0.152884577240223,0.206161578555473,0.669151764767218,0.230743384911191,0.425718761064516,0.227213964933794,0.904970215934475,0.429512098373661,21.0584879016263,0.0146303905539042,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,23,"231215-glu005-2-23",18.0387,2.1656,1.7223,6.5404,62.475,6.312,7.895,2.044,10.077,8.033,2.20088453816771,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.88885192514112,0.144148074858881,8.6287,4.268,5.851,0.125151322995331,14.9986187720487,0.771295833181566,0.284559536105671,5.55176605623353,0.144308376286418,0.198622486969471,0.697999756703682,0.223362162561143,0.490234774653566,0.200972828213239,0.904970215934475,0.429512098373661,21.0584879016263,0.013512819032163,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,24,"231215-glu005-2-24",18.5463,2.1656,1.7223,6.5404,62.475,6.735,7.591,1.996,9.671,7.675,2.16044532583292,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.79852339900085,-0.123523399000854,9.1363,4.739,5.595,0.149535942814319,14.3301878595138,0.736922136146958,0.330700479746593,6.19310871471674,0.174192230310345,0.220541697691735,0.666892584675808,0.249190781142451,0.490651905848924,0.252420604264315,0.904970215934475,0.429512098373661,21.0584879016263,0.0157039043492317,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,25,"231215-glu005-2-25",19.0539,2.1656,1.7223,6.5404,62.475,6.651,7.54,2.079,9.482,7.403,2.12858878494608,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.70959574504275,-0.306595745042753,9.6439,4.572,5.461,0.14469360696374,13.8223297360235,0.710805807673737,0.330769131348715,6.00265613499671,0.165317946001401,0.21276991809382,0.643258085257981,0.241552508692708,0.496496521986521,0.252497151728948,0.904970215934475,0.429512098373661,21.0584879016263,0.0157071643934686,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,26,"231215-glu005-2-26",19.5614,2.1656,1.7223,6.5404,62.475,6.362,7.692,2,9.474,7.474,2.13700265220437,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.62206435077637,-0.148064350776374,10.1514,4.362,5.692,0.128033665763533,13.9548956432581,0.717622937532556,0.312578475074973,5.75357470437045,0.153711805330032,0.202997021593448,0.64942738473837,0.23155312885854,0.512582271483811,0.232214324020077,0.904970215934475,0.429512098373661,21.0584879016263,0.0148433485127312,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,27,"231215-glu005-2-27",20.069,2.1656,1.7223,6.5404,62.475,5.745,9.35,2.056,9.444,7.388,2.12680211303967,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.5358733358681,-0.147873335868099,10.659,3.689,7.294,0.09246555600392,13.7943228542134,0.70936556897117,0.267428857435595,4.88850426993854,0.113403183657934,0.171677215189873,0.641954712128321,0.196758596280714,0.664493375357044,0.181871889864866,0.904970215934475,0.429512098373661,21.0584879016263,0.0126993380856629,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,28,"231215-glu005-2-28",20.5766,2.1656,1.7223,6.5404,62.475,6.55,7.785,2.03,9.555,7.525,2.14300302316958,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.45101902598864,0.0739809740113557,11.1666,4.52,5.755,0.138871274571972,14.0501190414125,0.722519749121285,0.32170545934005,6.01756828228206,0.166012788963684,0.210349962769918,0.653858853379212,0.242227564711799,0.514743186978936,0.242391034885499,0.904970215934475,0.429512098373661,21.0584879016263,0.0152767597010232,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,29,"231215-glu005-2-29",21.0842,2.1656,1.7223,6.5404,62.475,6.245,8.392,2.007,9.596,7.589,2.15048231478409,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.36748069066702,0.22151930933298,11.6742,4.238,6.385,0.12128898368594,14.169615070469,0.728664767585573,0.299090693637291,5.66837786020357,0.14974199290495,0.19722635889799,0.65941991206576,0.228195012588167,0.566275969361098,0.217175265342996,0.904970215934475,0.429512098373661,21.0584879016263,0.0142028570633598,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,30,"231215-glu005-2-30",21.5917,2.1656,1.7223,6.5404,62.475,6.815,9.013,1.984,9.211,7.227,2.10742142818679,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.28525399694541,-0.0582539969454086,12.1817,4.831,7.029,0.154147691243443,13.493715656118,0.693907006896947,0.358018511958908,6.49156977826003,0.188099252924196,0.224823157110946,0.627965173869976,0.261361669332723,0.654616988736824,0.282880579559853,0.904970215934475,0.429512098373661,21.0584879016263,0.0170011500175784,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,31,"231215-glu005-2-31",22.0993,2.1656,1.7223,6.5404,62.475,6.131,8.958,1.999,9.102,7.103,2.09223436347859,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,7.20428645102869,-0.101286451028692,12.6893,4.132,6.959,0.114717242174439,13.262192099821,0.682001033622391,0.311562369848026,5.57812514745826,0.145536598398177,0.192293373045421,0.61719062266479,0.22460800918704,0.659411937818831,0.231081352952837,0.904970215934475,0.429512098373661,21.0584879016263,0.0147950969368491,"231215_glu005_2"
